92.115, 203.417, 5.009,  6.293 False
92.115, 203.250, 5.001,  6.326 False
92.115, 203.084, 4.987,  6.359 False
92.115, 202.917, 4.993,  6.392 False
92.115, 202.751, 4.998,  6.425 False
92.115, 202.584, 5.003,  6.458 False
92.115, 202.417, 5.006,  6.491 False
92.116, 202.250, 5.008,  6.524 False
92.116, 202.083, 5.009,  6.557 False
92.116, 201.916, 5.010,  6.590 False
92.116, 201.749, 5.009,  6.623 False
92.116, 201.583, 4.998,  6.656 False
92.116, 201.416, 4.996,  6.689 False
92.115, 201.249, 4.999,  6.722 False
92.116, 201.083, 5.002,  6.755 False
92.115, 200.916, 5.004,  6.788 False
92.115, 200.749, 5.006,  6.821 False
92.115, 200.582, 5.006,  6.854 False
92.115, 200.415, 5.005,  6.887 False
92.115, 200.249, 4.992,  6.920 False
92.115, 200.083, 4.991,  6.953 False
92.115, 199.916, 4.997,  6.986 False
92.115, 199.749, 5.001,  7.019 False
92.114, 199.583, 5.004,  7.052 False
92.114, 199.416, 5.007,  7.085 False
92.114, 199.249, 5.008,  7.118 False
92.114, 199.082, 5.007,  7.151 False
92.114, 198.915, 4.996,  7.184 False
92.113, 198.749, 4.995,  7.217 False
92.113, 198.582, 4.999,  7.250 False
92.113, 198.415, 5.003,  7.283 False
92.113, 198.249, 5.005,  7.316 False
92.112, 198.082, 5.006,  7.349 False
92.112, 197.915, 5.007,  7.382 False
92.112, 197.748, 5.006,  7.415 False
92.112, 197.581, 4.993,  7.448 False
92.111, 197.415, 4.992,  7.481 False
92.111, 197.249, 4.997,  7.514 False
92.111, 197.082, 5.001,  7.547 False
92.110, 196.915, 5.004,  7.580 False
92.110, 196.748, 5.006,  7.613 False
92.110, 196.581, 5.007,  7.646 False
92.109, 196.414, 5.006,  7.679 False
92.109, 196.248, 4.996,  7.712 False
92.108, 196.081, 4.995,  7.745 False
92.108, 195.915, 4.999,  7.778 False
92.108, 195.748, 5.002,  7.811 False
92.107, 195.581, 5.004,  7.844 False
92.107, 195.414, 5.005,  7.877 False
92.107, 195.247, 5.006,  7.910 False
92.106, 195.081, 5.005,  7.943 False
92.106, 194.914, 4.994,  7.976 False
92.105, 194.748, 4.993,  8.009 False
92.105, 194.581, 4.997,  8.042 False
92.105, 194.415, 5.001,  8.075 False
92.104, 194.248, 5.003,  8.108 False
92.104, 194.081, 5.005,  8.141 False
92.103, 193.914, 5.006,  8.174 False
92.103, 193.747, 5.005,  8.207 False
92.103, 193.581, 4.997,  8.240 False
92.102, 193.414, 4.996,  8.273 False
92.102, 193.247, 4.999,  8.306 False
92.101, 193.081, 5.002,  8.339 False
92.101, 192.914, 5.003,  8.372 False
92.101, 192.747, 5.005,  8.405 False
92.100, 192.580, 5.005,  8.438 False
92.100, 192.413, 5.005,  8.471 False
92.100, 192.247, 4.998,  8.504 False
92.099, 192.080, 4.996,  8.537 False
92.098, 191.914, 4.999,  8.570 False
92.098, 191.747, 5.001,  8.603 False
92.098, 191.580, 5.003,  8.636 False
92.098, 191.413, 5.003,  8.669 False
92.097, 191.247, 5.004,  8.702 False
92.097, 191.080, 5.004,  8.735 False
92.097, 190.913, 4.999,  8.768 False
92.096, 190.747, 4.998,  8.801 False
92.096, 190.580, 5.000,  8.834 False
92.095, 190.413, 5.001,  8.867 False
92.095, 190.247, 5.002,  8.900 False
92.095, 190.080, 5.003,  8.933 False
92.094, 189.913, 5.003,  8.966 False
92.094, 189.746, 5.003,  8.999 False
92.094, 189.580, 4.998,  9.032 False
92.093, 189.413, 4.996,  9.065 False
92.093, 189.247, 4.998,  9.098 False
92.093, 189.080, 5.000,  9.131 False
92.092, 188.913, 5.001,  9.164 False
92.092, 188.746, 5.002,  9.197 False
92.092, 188.580, 5.003,  9.230 False
92.091, 188.413, 5.003,  9.263 False
92.091, 188.246, 4.999,  9.296 False
92.090, 188.080, 4.998,  9.329 False
92.090, 187.913, 5.000,  9.362 False
92.090, 187.746, 5.001,  9.395 False
92.090, 187.580, 5.002,  9.428 False
92.089, 187.413, 5.002,  9.461 False
92.089, 187.246, 5.002,  9.494 False
92.089, 187.079, 5.002,  9.527 False
92.088, 186.913, 4.998,  9.560 False
92.088, 186.746, 4.997,  9.593 False
92.088, 186.580, 4.998,  9.626 False
92.087, 186.413, 5.000,  9.659 False
92.087, 186.246, 5.001,  9.692 False
92.087, 186.079, 5.002,  9.725 False
92.087, 185.913, 5.002,  9.758 False
92.086, 185.746, 5.003,  9.791 False
92.086, 185.579, 5.003,  9.824 False
92.086, 185.412, 5.002,  9.857 False
92.085, 185.246, 4.997,  9.890 False
92.086, 185.079, 4.998,  9.923 False
92.085, 184.913, 4.999,  9.956 False
92.085, 184.746, 5.000,  9.989 False
92.085, 184.579, 5.001, 10.022 False
92.085, 184.413, 5.002, 10.055 False
92.084, 184.246, 5.002, 10.088 False
92.084, 184.079, 5.001, 10.121 False
92.084, 183.913, 4.996, 10.154 False
92.083, 183.746, 4.997, 10.187 False
92.083, 183.579, 4.999, 10.220 False
92.083, 183.413, 5.001, 10.253 False
92.083, 183.246, 5.002, 10.286 False
92.083, 183.079, 5.002, 10.319 False
92.082, 182.913, 5.002, 10.352 False
92.082, 182.746, 5.001, 10.385 False
92.082, 182.579, 4.997, 10.418 False
92.082, 182.413, 4.999, 10.451 False
92.082, 182.246, 5.000, 10.484 False
92.082, 182.079, 5.001, 10.517 False
92.081, 181.913, 5.002, 10.550 False
92.081, 181.746, 5.002, 10.583 False
92.081, 181.579, 5.002, 10.616 False
92.081, 181.412, 5.000, 10.649 False
92.081, 181.246, 4.994, 10.682 False
92.080, 181.079, 4.996, 10.715 False
92.080, 180.913, 4.998, 10.748 False
92.080, 180.746, 5.000, 10.781 False
92.080, 180.579, 5.002, 10.814 False
92.080, 180.413, 5.002, 10.847 False
92.079, 180.246, 5.003, 10.880 False
92.079, 180.079, 5.002, 10.913 False
92.079, 179.913, 4.997, 10.946 False
92.079, 179.746, 4.998, 10.979 False
92.079, 179.579, 5.000, 11.012 False
92.079, 179.413, 5.001, 11.045 False
92.079, 179.246, 5.002, 11.078 False
92.079, 179.079, 5.002, 11.111 False
92.079, 178.912, 5.002, 11.144 False
92.078, 178.746, 5.001, 11.177 False
92.078, 178.579, 4.994, 11.210 False
92.078, 178.413, 4.996, 11.243 False
92.077, 178.246, 4.998, 11.276 False
92.078, 178.080, 5.000, 11.309 False
92.077, 177.913, 5.002, 11.342 False
92.077, 177.746, 5.003, 11.375 False
92.077, 177.579, 5.003, 11.408 False
92.077, 177.413, 5.002, 11.441 False
92.077, 177.246, 4.996, 11.474 False
92.077, 177.079, 4.998, 11.507 False
92.077, 176.913, 5.000, 11.540 False
92.077, 176.746, 5.001, 11.573 False
92.077, 176.579, 5.002, 11.606 False
92.077, 176.413, 5.003, 11.639 False
92.077, 176.246, 5.003, 11.672 False
92.077, 176.079, 5.001, 11.705 False
92.077, 175.913, 4.994, 11.738 False
92.076, 175.746, 4.996, 11.771 False
92.076, 175.580, 4.998, 11.804 False
92.076, 175.413, 5.000, 11.837 False
92.076, 175.246, 5.002, 11.870 False
92.076, 175.079, 5.003, 11.903 False
92.075, 174.913, 5.003, 11.936 False
92.075, 174.746, 5.002, 11.969 False
92.075, 174.579, 4.996, 12.002 False
92.076, 174.413, 4.998, 12.035 False
92.076, 174.246, 5.000, 12.068 False
92.075, 174.079, 5.001, 12.101 False
92.075, 173.913, 5.002, 12.134 False
92.075, 173.746, 5.003, 12.167 False
92.075, 173.579, 5.003, 12.200 False
92.075, 173.412, 5.001, 12.233 False
92.075, 173.246, 4.994, 12.266 False
92.075, 173.080, 4.996, 12.299 False
92.074, 172.913, 4.998, 12.332 False
92.075, 172.746, 5.000, 12.365 False
92.075, 172.580, 5.002, 12.398 False
92.074, 172.413, 5.003, 12.431 False
92.074, 172.246, 5.003, 12.464 False
92.074, 172.079, 5.002, 12.497 False
92.074, 171.913, 4.996, 12.530 False
92.075, 171.746, 4.998, 12.563 False
92.075, 171.579, 5.000, 12.596 False
92.074, 171.413, 5.001, 12.629 False
92.074, 171.246, 5.002, 12.662 False
92.074, 171.079, 5.003, 12.695 False
92.074, 170.913, 5.003, 12.728 False
92.074, 170.746, 5.001, 12.761 False
92.074, 170.579, 4.994, 12.794 False
92.074, 170.413, 4.996, 12.827 False
92.074, 170.246, 4.998, 12.860 False
92.074, 170.080, 5.000, 12.893 False
92.074, 169.913, 5.002, 12.926 False
92.074, 169.746, 5.003, 12.959 False
92.074, 169.579, 5.003, 12.992 False
92.074, 169.413, 5.002, 13.025 False
92.074, 169.246, 4.996, 13.058 False
92.074, 169.080, 4.998, 13.091 False
92.074, 168.913, 5.000, 13.124 False
92.074, 168.746, 5.001, 13.157 False
92.074, 168.579, 5.002, 13.190 False
92.074, 168.413, 5.003, 13.223 False
92.074, 168.246, 5.003, 13.256 False
92.074, 168.079, 5.001, 13.289 False
92.074, 167.913, 4.994, 13.322 False
92.073, 167.746, 4.996, 13.355 False
92.073, 167.580, 4.998, 13.388 False
92.073, 167.413, 5.000, 13.421 False
92.073, 167.246, 5.002, 13.454 False
92.073, 167.080, 5.003, 13.487 False
92.073, 166.913, 5.003, 13.520 False
92.073, 166.746, 5.002, 13.553 False
92.073, 166.579, 4.996, 13.586 False
92.074, 166.413, 4.998, 13.619 False
92.074, 166.246, 5.000, 13.652 False
92.074, 166.080, 5.001, 13.685 False
92.074, 165.913, 5.002, 13.718 False
92.074, 165.746, 5.003, 13.751 False
92.074, 165.579, 5.003, 13.784 False
92.074, 165.413, 5.001, 13.817 False
92.074, 165.246, 4.994, 13.850 False
92.073, 165.080, 4.996, 13.883 False
92.073, 164.913, 4.999, 13.916 False
92.073, 164.746, 5.000, 13.949 False
92.073, 164.580, 5.002, 13.982 False
92.073, 164.413, 5.003, 14.015 False
92.073, 164.246, 5.003, 14.048 False
92.073, 164.079, 5.002, 14.081 False
92.073, 163.913, 4.996, 14.114 False
92.074, 163.746, 4.998, 14.147 False
92.074, 163.580, 5.000, 14.180 False
92.073, 163.413, 5.001, 14.213 False
92.073, 163.246, 5.002, 14.246 False
92.074, 163.079, 5.003, 14.279 False
92.074, 162.913, 5.003, 14.312 False
92.074, 162.746, 5.001, 14.345 False
92.074, 162.579, 4.994, 14.378 False
92.073, 162.413, 4.996, 14.411 False
92.073, 162.246, 4.999, 14.444 False
92.073, 162.080, 5.000, 14.477 False
92.073, 161.913, 5.002, 14.510 False
92.073, 161.746, 5.003, 14.543 False
92.073, 161.579, 5.003, 14.576 False
92.073, 161.413, 5.001, 14.609 False
92.073, 161.246, 4.996, 14.642 False
92.074, 161.080, 4.998, 14.675 False
92.074, 160.913, 5.000, 14.708 False
92.073, 160.746, 5.001, 14.741 False
92.074, 160.580, 5.002, 14.774 False
92.074, 160.413, 5.003, 14.807 False
92.074, 160.246, 5.003, 14.840 False
92.074, 160.079, 5.001, 14.873 False
92.074, 159.913, 4.994, 14.906 False
92.073, 159.746, 4.996, 14.939 False
92.073, 159.580, 4.999, 14.972 False
92.073, 159.413, 5.000, 15.005 False
